Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
429,Udayy,Gurugram,other,Haryana,India,Asia,100.0,2022-06-01,100.0,100.0,0.0,Education,Seed,2.0,2022,28.4646148,77.0299194
430,Carbon Health,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,2022-06-02,8.0,3125.0,2875.0,Healthcare,Series D,522.0,2022,37.7792588,-122.4193286
431,Gather,Palo Alto,San Francisco Bay Area,California,USA,North America,30.0,2022-06-02,33.0,91.0,61.0,Consumer,Series B,76.0,2022,37.4443293,-122.1598465
432,Gemini,New York City,other,New York,USA,North America,100.0,2022-06-02,10.0,1000.0,900.0,Crypto,Unknown,423.0,2022,40.7127281,-74.0060152
433,IRL,Berkeley,San Francisco Bay Area,California,USA,North America,25.0,2022-06-02,25.0,100.0,75.0,Consumer,Series C,197.0,2022,37.8708393,-122.272863
434,PolicyGenius,New York City,other,New York,USA,North America,170.0,2022-06-02,25.0,680.0,510.0,Finance,Series E,286.0,2022,40.7127281,-74.0060152
435,Stord,Atlanta,other,Georgia,USA,North America,59.0,2022-06-02,8.0,738.0,679.0,Logistics,Series D,325.0,2022,33.7489924,-84.3902644
436,Yojak,Gurugram,other,Haryana,India,Asia,140.0,2022-06-02,50.0,280.0,140.0,Construction,Seed,3.0,2022,28.4646148,77.0299194
437,Food52,New York City,other,New York,USA,North America,21.0,2022-06-03,15.0,140.0,119.0,Food,Acquired,176.0,2022,40.7127281,-74.0060152
438,Superhuman,San Francisco,San Francisco Bay Area,California,USA,North America,23.0,2022-06-03,22.0,105.0,82.0,Consumer,Series C,108.0,2022,37.7792588,-122.4193286
439,Dutchie,Bend,other,Oregon,USA,North America,50.0,2022-06-06,7.0,714.0,664.0,Other,Series D,603.0,2022,44.0581728,-121.3153096
440,Bird,Los Angeles,other,California,USA,North America,138.0,2022-06-07,23.0,600.0,462.0,Transportation,Post-IPO,783.0,2022,34.0536909,-118.242766
441,Cazoo,London,other,England,UK,Europe,750.0,2022-06-07,15.0,5000.0,4250.0,Transportation,Post-IPO,2000.0,2022,51.4893335,-0.144055085
442,Rupeek,Bengaluru,other,Karnataka,India,Asia,180.0,2022-06-07,15.0,1200.0,1020.0,Finance,Unknown,172.0,2022,12.98815675,77.62260004
443,iPrice Group,Kuala Lumpur,other,non,Malaysia,Asia,50.0,2022-06-08,20.0,250.0,200.0,Retail,Unknown,26.0,2022,3.1516964,101.6942371
444,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,2022-06-08,21.0,1190.0,940.0,Travel,Post-IPO,839.0,2022,37.7792588,-122.4193286
445,Truepill,Hayward,San Francisco Bay Area,California,USA,North America,150.0,2022-06-08,15.0,1000.0,850.0,Healthcare,Series D,255.0,2022,37.6688205,-122.080796
446,Boozt,Malmö,other,non,Sweden,Europe,70.0,2022-06-09,5.0,1400.0,1330.0,Retail,Post-IPO,56.0,2022,55.6052931,13.0001566
447,Convoy,Seattle,Cascadia,Washington,USA,North America,90.0,2022-06-09,7.0,1286.0,1196.0,Logistics,Series E,1100.0,2022,47.6038321,-122.330062
448,Hologram,Chicago,other,Illinois,USA,North America,80.0,2022-06-09,40.0,200.0,120.0,Infrastructure,Series B,82.0,2022,41.8755616,-87.6244212
449,OneTrust,Atlanta,other,Georgia,USA,North America,950.0,2022-06-09,25.0,3800.0,2850.0,Security,Series C,926.0,2022,33.7489924,-84.3902644
450,Preply,Boston,other,Massachusetts,USA,North America,26.0,2022-06-09,5.0,520.0,494.0,Education,Series C,100.0,2022,42.3554334,-71.060511
451,Stashaway,Singapore,other,non,Singapore,Asia,31.0,2022-06-09,14.0,221.0,190.0,Finance,Series D,61.0,2022,1.2899175,103.8519072
452,Stitch Fix,San Francisco,San Francisco Bay Area,California,USA,North America,330.0,2022-06-09,15.0,2200.0,1870.0,Retail,Post-IPO,79.0,2022,37.7792588,-122.4193286
453,The Grommet,Boston,other,Massachusetts,USA,North America,40.0,2022-06-09,100.0,40.0,0.0,Retail,Acquired,5.0,2022,42.3554334,-71.060511
454,Albert,Los Angeles,other,California,USA,North America,20.0,2022-06-10,8.0,250.0,230.0,Finance,Series C,175.0,2022,34.0536909,-118.242766
455,Berlin Brands Group,Berlin,other,Berlin,Germany,Europe,100.0,2022-06-10,10.0,1000.0,900.0,Retail,Unknown,1000.0,2022,52.5170365,13.3888599
456,Crypto.com,Singapore,other,non,Singapore,Asia,260.0,2022-06-10,5.0,5200.0,4940.0,Crypto,Unknown,156.0,2022,1.2899175,103.8519072
457,FarEye,New Delhi,other,Delhi,India,Asia,250.0,2022-06-10,30.0,833.0,583.0,Logistics,Series E,150.0,2022,28.6138954,77.2090057
458,Freetrade,London,other,England,UK,Europe,45.0,2022-06-10,15.0,300.0,255.0,Finance,Unknown,133.0,2022,51.4893335,-0.144055085
459,Sanar,Sao Paulo,other,State of São Paulo,Brazil,South America,60.0,2022-06-10,20.0,300.0,240.0,Healthcare,Unknown,11.0,2022,-23.5506507,-46.6333824
460,BlockFi,New York City,other,New York,USA,North America,250.0,2022-06-13,20.0,1250.0,1000.0,Crypto,Series E,1000.0,2022,40.7127281,-74.0060152
461,Studio,San Francisco,San Francisco Bay Area,California,USA,North America,33.0,2022-06-13,40.0,83.0,50.0,Education,Series B,50.0,2022,37.7792588,-122.4193286
462,Wave Sports and Entertainment,Los Angeles,other,California,USA,North America,56.0,2022-06-13,33.0,170.0,114.0,Media,Series B,65.0,2022,34.0536909,-118.242766
463,Breathe,New Delhi,other,Delhi,India,Asia,50.0,2022-06-14,33.0,152.0,102.0,Healthcare,Series A,6.0,2022,28.6138954,77.2090057
464,Coinbase,San Francisco,San Francisco Bay Area,California,USA,North America,1100.0,2022-06-14,18.0,6111.0,5011.0,Crypto,Post-IPO,549.0,2022,37.7792588,-122.4193286
465,Compass,New York City,other,New York,USA,North America,450.0,2022-06-14,10.0,4500.0,4050.0,Real Estate,Post-IPO,,2022,40.7127281,-74.0060152
466,Redfin,Seattle,Cascadia,Washington,USA,North America,470.0,2022-06-14,8.0,5875.0,5405.0,Real Estate,Post-IPO,319.0,2022,47.6038321,-122.330062
467,Sami,Sao Paulo,other,State of São Paulo,Brazil,South America,75.0,2022-06-14,15.0,500.0,425.0,Healthcare,Unknown,36.0,2022,-23.5506507,-46.6333824
468,TIFIN,Boulder,other,Colorado,USA,North America,24.0,2022-06-14,10.0,240.0,216.0,Crypto,Series D,204.0,2022,40.0149856,-105.270545
469,Notarize,Boston,other,Massachusetts,USA,North America,110.0,2022-06-15,25.0,440.0,330.0,Legal,Series D,213.0,2022,42.3554334,-71.060511
470,OpenWeb,Tel Aviv,other,non,Israel,Asia,14.0,2022-06-15,5.0,280.0,266.0,Media,Series E,223.0,2022,32.0852997,34.7818064
471,Swappie,Helsinki,other,non,Finland,Europe,250.0,2022-06-15,17.0,1471.0,1221.0,Retail,Series C,169.0,2022,60.1674881,24.9427473
472,Swyft,Toronto,other,Ontario,Canada,North America,10.0,2022-06-15,30.0,33.0,23.0,Logistics,Series A,20.0,2022,43.6534817,-79.3839347
473,Tonkean,Palo Alto,San Francisco Bay Area,California,USA,North America,23.0,2022-06-15,23.0,100.0,77.0,Other,Series B,83.0,2022,37.4443293,-122.1598465
474,Wealthsimple,Toronto,other,Ontario,Canada,North America,159.0,2022-06-15,13.0,1223.0,1064.0,Finance,Unknown,900.0,2022,43.6534817,-79.3839347
475,Weee!,Fremont,San Francisco Bay Area,California,USA,North America,150.0,2022-06-15,10.0,1500.0,1350.0,Food,Series E,863.0,2022,37.5482697,-121.988571
476,JOKR,New York City,other,New York,USA,North America,50.0,2022-06-16,5.0,1000.0,950.0,Food,Series B,430.0,2022,40.7127281,-74.0060152
477,Zumper,San Francisco,San Francisco Bay Area,California,USA,North America,45.0,2022-06-16,15.0,300.0,255.0,Real Estate,Series D,178.0,2022,37.7792588,-122.4193286
478,Finite State,Columbus,other,Ohio,USA,North America,16.0,2022-06-17,20.0,80.0,64.0,Security,Series B,49.0,2022,39.9622601,-83.0007065
479,Socure,Reno,other,Nevada,USA,North America,69.0,2022-06-17,13.0,531.0,462.0,Finance,Series E,646.0,2022,39.5261206,-119.8126581
480,Unacademy,Bengaluru,other,Karnataka,India,Asia,150.0,2022-06-18,3.0,5000.0,4850.0,Education,Series H,838.0,2022,12.98815675,77.62260004
481,BitOasis,Dubai,other,non,United Arabian Emirates,Asia,9.0,2022-06-19,5.0,180.0,171.0,Crypto,Series B,30.0,2022,25.276987,55.296249
482,CityMall,Gurugram,other,Haryana,India,Asia,191.0,2022-06-19,30.0,637.0,446.0,Retail,Series C,112.0,2022,28.4646148,77.0299194
483,Aqgromalin,Chennai,other,Tamil Nadu,India,Asia,80.0,2022-06-20,30.0,267.0,187.0,Food,Unknown,12.0,2022,13.0836939,80.270186
484,Bonsai,Toronto,other,Ontario,Canada,North America,30.0,2022-06-20,55.0,55.0,25.0,Retail,Series A,27.0,2022,43.6534817,-79.3839347
485,Brighte,Sydney,other,New South Wales,Australia,Oceana,30.0,2022-06-20,15.0,200.0,170.0,Energy,Series C,145.0,2022,-33.8698439,151.2082848
486,SummerBio,Menlo Park,San Francisco Bay Area,California,USA,North America,101.0,2022-06-20,100.0,101.0,0.0,Healthcare,Unknown,7.0,2022,37.4519671,-122.177992
487,Trax,Singapore,other,non,Singapore,Asia,100.0,2022-06-20,12.0,833.0,733.0,Retail,Series E,1000.0,2022,1.2899175,103.8519072
488,Community,Los Angeles,other,California,USA,North America,40.0,2022-06-21,30.0,133.0,93.0,Marketing,Unknown,40.0,2022,34.0536909,-118.242766
489,Ebanx,Curitiba,other,State of Paraná,Brazil,South America,340.0,2022-06-21,20.0,1700.0,1360.0,Finance,Series B,460.0,2022,-25.4295963,-49.2712724
490,Sourcegraph,San Francisco,San Francisco Bay Area,California,USA,North America,24.0,2022-06-21,8.0,300.0,276.0,Product,Series D,248.0,2022,37.7792588,-122.4193286
491,IronNet,Washington DC,other,District of Columbia,USA,North America,90.0,2022-06-22,35.0,257.0,167.0,Security,Post-IPO,410.0,2022,38.8950368,-77.0365427
492,MasterClass,San Francisco,San Francisco Bay Area,California,USA,North America,120.0,2022-06-22,20.0,600.0,480.0,Education,Series E,461.0,2022,37.7792588,-122.4193286
493,Ritual,Toronto,other,Ontario,Canada,North America,23.0,2022-06-22,16.0,144.0,121.0,Food,Series C,134.0,2022,43.6534817,-79.3839347
494,Superpedestrian,Boston,other,Massachusetts,USA,North America,35.0,2022-06-22,7.0,500.0,465.0,Transportation,Series C,261.0,2022,42.3554334,-71.060511
495,Voi,Stockholm,other,non,Sweden,Europe,35.0,2022-06-22,10.0,350.0,315.0,Transportation,Series D,515.0,2022,59.3251172,18.0710935
496,Aura,Boston,other,Massachusetts,USA,North America,70.0,2022-06-23,9.0,778.0,708.0,Security,Series F,500.0,2022,42.3554334,-71.060511
497,Netflix,Los Gatos,San Francisco Bay Area,California,USA,North America,300.0,2022-06-23,3.0,10000.0,9700.0,Media,Post-IPO,121900.0,2022,37.226611,-121.9746797
498,Pipl,Spokane,other,Washington,USA,North America,22.0,2022-06-23,13.0,169.0,147.0,Security,Unknown,19.0,2022,47.6571934,-117.42351
499,Vouch,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,2022-06-23,7.0,214.0,199.0,Finance,Series C,159.0,2022,37.7792588,-122.4193286
500,Voyage SMS,Los Angeles,other,California,USA,North America,8.0,2022-06-23,13.0,62.0,54.0,Marketing,Unknown,10.0,2022,34.0536909,-118.242766
501,Bestow,Dallas,other,Texas,USA,North America,41.0,2022-06-24,14.0,293.0,252.0,Finance,Series C,137.0,2022,32.7762719,-96.7968559
502,Bitpanda,Vienna,other,non,Austria,Europe,270.0,2022-06-24,27.0,1000.0,730.0,Crypto,Series C,546.0,2022,48.2083537,16.3725042
503,Ethos Life,San Francisco,San Francisco Bay Area,California,USA,North America,40.0,2022-06-24,12.0,333.0,293.0,Finance,Series D,406.0,2022,37.7792588,-122.4193286
504,Sunday,Atlanta,other,Georgia,USA,North America,90.0,2022-06-24,23.0,391.0,301.0,Finance,Series A,124.0,2022,33.7489924,-84.3902644
505,AppLovin,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,2022-06-27,12.0,2500.0,2200.0,Marketing,Post-IPO,1600.0,2022,37.4443293,-122.1598465
506,Banxa,Melbourne,other,Victoria,Australia,Oceana,70.0,2022-06-27,30.0,233.0,163.0,Crypto,Post-IPO,13.0,2022,-37.8142454,144.9631732
507,SafeGraph,San Francisco,San Francisco Bay Area,California,USA,North America,27.0,2022-06-27,25.0,108.0,81.0,Data,Series B,61.0,2022,37.7792588,-122.4193286
508,Udaan,Bengaluru,other,Karnataka,India,Asia,180.0,2022-06-27,4.0,4500.0,4320.0,Retail,Unknown,,2022,12.98815675,77.62260004
509,UiPath,New York City,other,New York,USA,North America,210.0,2022-06-27,5.0,4200.0,3990.0,Data,Post-IPO,2000.0,2022,40.7127281,-74.0060152
510,Bright Machines,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,2022-06-28,8.0,375.0,345.0,Data,Unknown,250.0,2022,37.7792588,-122.4193286
511,HealthMatch,Sydney,other,New South Wales,Australia,Oceana,18.0,2022-06-28,50.0,36.0,18.0,Healthcare,Series B,20.0,2022,-33.8698439,151.2082848
512,Huobi,Beijing,other,non,China,Asia,300.0,2022-06-28,30.0,1000.0,700.0,Crypto,Unknown,2.0,2022,39.916668,116.383331
513,Sidecar Health,Los Angeles,other,California,USA,North America,110.0,2022-06-28,40.0,275.0,165.0,Healthcare,Series C,163.0,2022,34.0536909,-118.242766
514,StockX,Detroit,other,Michigan,USA,North America,120.0,2022-06-28,8.0,1500.0,1380.0,Retail,Series E,690.0,2022,42.3315509,-83.0466403
515,Vezeeta,Dubai,other,non,United Arabian Emirates,Asia,50.0,2022-06-28,10.0,500.0,450.0,Healthcare,Series D,71.0,2022,25.276987,55.296249
516,Baton,San Francisco,San Francisco Bay Area,California,USA,North America,16.0,2022-06-29,25.0,64.0,48.0,Transportation,Series A,13.0,2022,37.7792588,-122.4193286
517,Clutch,Toronto,other,Ontario,Canada,North America,76.0,2022-06-29,22.0,345.0,269.0,Transportation,Series B,153.0,2022,43.6534817,-79.3839347
518,Niantic,San Francisco,San Francisco Bay Area,California,USA,North America,85.0,2022-06-29,8.0,1063.0,978.0,Consumer,Series D,770.0,2022,37.7792588,-122.4193286
519,Oye Rickshaw,New Delhi,other,Delhi,India,Asia,40.0,2022-06-29,20.0,200.0,160.0,Transportation,Unknown,13.0,2022,28.6138954,77.2090057
520,Qumulo,Seattle,Cascadia,Washington,USA,North America,80.0,2022-06-29,19.0,421.0,341.0,Data,Series E,347.0,2022,47.6038321,-122.330062
521,Rows,Berlin,other,Berlin,Germany,Europe,18.0,2022-06-29,30.0,60.0,42.0,Other,Series B,25.0,2022,52.5170365,13.3888599
522,Substack,San Francisco,San Francisco Bay Area,California,USA,North America,13.0,2022-06-29,14.0,93.0,80.0,Media,Series B,82.0,2022,37.7792588,-122.4193286
523,Unity,San Francisco,San Francisco Bay Area,California,USA,North America,200.0,2022-06-29,4.0,5000.0,4800.0,Other,Post-IPO,1300.0,2022,37.7792588,-122.4193286
524,Abra,Mountain View,San Francisco Bay Area,California,USA,North America,12.0,2022-06-30,5.0,240.0,228.0,Crypto,Series C,106.0,2024,37.3893889,-122.0832101
525,Crejo.Fun,Bengaluru,other,Karnataka,India,Asia,170.0,2022-06-30,100.0,170.0,0.0,Education,Seed,3.0,2022,12.98815675,77.62260004
526,Enjoy,Mountain View,San Francisco Bay Area,California,USA,North America,400.0,2022-06-30,18.0,2222.0,1822.0,Retail,Post-IPO,310.0,2022,37.3893889,-122.0832101
527,Finleap Connect,Hamburg,other,Hamburg,Germany,Europe,14.0,2022-06-30,10.0,140.0,126.0,Finance,Series A,22.0,2022,53.550341,10.000654
528,Nate,New York City,other,New York,USA,North America,30.0,2022-06-30,20.0,150.0,120.0,Retail,Series A,47.0,2022,40.7127281,-74.0060152
529,Stash Financial,New York City,other,New York,USA,North America,40.0,2022-06-30,8.0,500.0,460.0,Finance,Unknown,480.0,2022,40.7127281,-74.0060152
530,Stream,Boulder,other,Colorado,USA,North America,20.0,2022-06-30,12.0,167.0,147.0,Product,Series B,58.0,2022,40.0149856,-105.270545
531,Canoo,Los Angeles,other,California,USA,North America,58.0,2022-07-01,6.0,967.0,909.0,Transportation,Post-IPO,300.0,2022,34.0536909,-118.242766
532,Teleport,Oakland,San Francisco Bay Area,California,USA,North America,15.0,2022-07-01,6.0,250.0,235.0,Infrastructure,Series C,169.0,2022,37.8044557,-122.271356
533,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,85.0,2022-07-01,100.0,85.0,0.0,Travel,Series B,26.0,2022,37.7792588,-122.4193286
534,Celsius,New York City,other,New York,USA,North America,150.0,2022-07-03,25.0,600.0,450.0,Crypto,Series B,864.0,2022,40.7127281,-74.0060152
535,Lendis,Berlin,other,Berlin,Germany,Europe,18.0,2022-07-04,15.0,120.0,102.0,Other,Series A,90.0,2022,52.5170365,13.3888599
536,Lightricks,Jerusalem,other,non,Israel,Asia,80.0,2022-07-04,12.0,667.0,587.0,Consumer,Series D,335.0,2022,31.78847185,35.21879441
537,Sendle,Sydney,other,New South Wales,Australia,Oceana,27.0,2022-07-04,12.0,225.0,198.0,Logistics,Series C,69.0,2022,-33.8698439,151.2082848
538,Bizzabo,New York City,other,New York,USA,North America,120.0,2022-07-05,30.0,400.0,280.0,Marketing,Series E,194.0,2022,40.7127281,-74.0060152
539,Bullish,Hong Kong,other,non,Hong Kong,Asia,30.0,2022-07-05,8.0,375.0,345.0,Crypto,Unknown,300.0,2022,22.2793278,114.1628131
540,eToro,Tel Aviv,other,non,Israel,Asia,100.0,2022-07-05,6.0,1667.0,1567.0,Finance,Unknown,322.0,2022,32.0852997,34.7818064
541,Loft,Sao Paulo,other,State of São Paulo,Brazil,South America,384.0,2022-07-05,12.0,3200.0,2816.0,Real Estate,Unknown,788.0,2022,-23.5506507,-46.6333824
542,Outschool,San Francisco,San Francisco Bay Area,California,USA,North America,31.0,2022-07-05,18.0,172.0,141.0,Education,Series D,240.0,2022,37.7792588,-122.4193286
543,Syte,Tel Aviv,other,non,Israel,Asia,13.0,2022-07-05,8.0,163.0,150.0,Retail,Series C,71.0,2022,32.0852997,34.7818064
544,Thimble,New York City,other,New York,USA,North America,20.0,2022-07-05,33.0,61.0,41.0,Finance,Series A,28.0,2022,40.7127281,-74.0060152
545,Transmit Security,Boston,other,Massachusetts,USA,North America,27.0,2022-07-05,7.0,386.0,359.0,Security,Series A,583.0,2022,42.3554334,-71.060511
546,Verbit,New York City,other,New York,USA,North America,80.0,2022-07-05,10.0,800.0,720.0,Data,Series E,569.0,2022,40.7127281,-74.0060152
547,Anodot,Tel Aviv,other,non,Israel,Asia,35.0,2022-07-06,27.0,130.0,95.0,Data,Series C,64.0,2022,32.0852997,34.7818064
548,Remote,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,2022-07-06,9.0,1111.0,1011.0,HR,Series C,496.0,2022,37.7792588,-122.4193286
549,SQream,New York City,other,New York,USA,North America,30.0,2022-07-06,18.0,167.0,137.0,Data,Series B,77.0,2022,40.7127281,-74.0060152
550,Argo AI,Pittsburgh,other,Pennsylvania,USA,North America,150.0,2022-07-07,5.0,3000.0,2850.0,Transportation,Unknown,,2022,40.4416941,-79.9900861
551,Emotive,Los Angeles,other,California,USA,North America,30.0,2022-07-07,18.0,167.0,137.0,Marketing,Series B,78.0,2022,34.0536909,-118.242766
552,Next Insurance,Palo Alto,San Francisco Bay Area,California,USA,North America,150.0,2022-07-07,17.0,882.0,732.0,Finance,Series E,881.0,2022,37.4443293,-122.1598465
553,Butler Hospitality,New York City,other,New York,USA,North America,1000.0,2022-07-08,100.0,1000.0,0.0,Food,Series B,50.0,2022,40.7127281,-74.0060152
554,Calibrate,New York City,other,New York,USA,North America,156.0,2022-07-08,24.0,650.0,494.0,Healthcare,Series B,127.0,2022,40.7127281,-74.0060152
555,Hopin,London,other,England,UK,Europe,242.0,2022-07-11,29.0,834.0,592.0,Other,Series D,1000.0,2022,51.4893335,-0.144055085
556,SundaySky,New York City,other,New York,USA,North America,24.0,2022-07-11,13.0,185.0,161.0,Marketing,Series D,74.0,2022,40.7127281,-74.0060152
557,Gopuff,Philadelphia,other,Pennsylvania,USA,North America,1500.0,2022-07-12,10.0,15000.0,13500.0,Food,Series H,3400.0,2022,39.9527237,-75.1635262
558,Hubilo,San Francisco,San Francisco Bay Area,California,USA,North America,45.0,2022-07-12,12.0,375.0,330.0,Marketing,Series B,153.0,2022,37.7792588,-122.4193286
559,Arrival,London,other,England,UK,Europe,480.0,2022-07-13,30.0,2080.0,1600.0,Transportation,Post-IPO,629.0,2022,51.4893335,-0.144055085
560,Bryter,Berlin,other,Berlin,Germany,Europe,100.0,2022-07-13,30.0,333.0,233.0,Product,Series B,89.0,2022,52.5170365,13.3888599
561,ChowNow,Los Angeles,other,California,USA,North America,100.0,2022-07-13,20.0,500.0,400.0,Food,Series C,64.0,2022,34.0536909,-118.242766
562,Fabric,New York City,other,New York,USA,North America,120.0,2022-07-13,40.0,300.0,180.0,Logistics,Series C,336.0,2022,40.7127281,-74.0060152
563,Involves,Florianopolis,other,State of Santa Catarina,Brazil,South America,70.0,2022-07-13,18.0,389.0,319.0,Retail,Unknown,23.0,2022,-27.5973002,-48.5496098
564,Tonal,San Francisco,San Francisco Bay Area,California,USA,North America,262.0,2022-07-13,35.0,749.0,487.0,Fitness,Series E,450.0,2022,37.7792588,-122.4193286
565,Wave,Dakar,other,non,Senegal,Africa,300.0,2022-07-13,15.0,2000.0,1700.0,Finance,Series A,292.0,2022,14.693425,-17.447938
566,Kiavi,San Francisco,San Francisco Bay Area,California,USA,North America,39.0,2022-07-14,7.0,557.0,518.0,Real Estate,Series E,240.0,2022,37.7792588,-122.4193286
567,The Mom Project,Chicago,other,Illinois,USA,North America,54.0,2022-07-14,15.0,360.0,306.0,HR,Series C,115.0,2022,41.8755616,-87.6244212
568,Unstoppable Do.,San Francisco,San Francisco Bay Area,California,USA,North America,42.0,2022-07-14,25.0,168.0,126.0,Crypto,Series B,7.0,2022,37.7792588,-122.4193286
569,Zego,London,other,England,UK,Europe,85.0,2022-07-14,17.0,500.0,415.0,Finance,Series C,202.0,2022,51.4893335,-0.144055085
570,Bright Money,Bengaluru,other,Karnataka,India,Asia,100.0,2022-07-15,50.0,200.0,100.0,Finance,Series A,31.0,2022,12.98815675,77.62260004
571,Heroes,London,other,England,UK,Europe,24.0,2022-07-15,20.0,120.0,96.0,Retail,Unknown,265.0,2022,51.4893335,-0.144055085
572,Project44,Chicago,other,Illinois,USA,North America,63.0,2022-07-15,5.0,1260.0,1197.0,Logistics,Unknown,817.0,2022,41.8755616,-87.6244212
573,Gemini,New York City,other,New York,USA,North America,68.0,2022-07-18,7.0,971.0,903.0,Crypto,Unknown,423.0,2022,40.7127281,-74.0060152
574,Lusha,New York City,other,New York,USA,North America,30.0,2022-07-18,10.0,300.0,270.0,Marketing,Series B,245.0,2022,40.7127281,-74.0060152
575,Olive AI,Columbus,other,Ohio,USA,North America,450.0,2022-07-19,31.0,1452.0,1002.0,Healthcare,Series H,856.0,2022,39.9622601,-83.0007065
576,Flyhomes,Seattle,Cascadia,Washington,USA,North America,200.0,2022-07-20,20.0,1000.0,800.0,Real Estate,Series C,310.0,2022,47.6038321,-122.330062
577,Forma.ai,Toronto,other,Ontario,Canada,North America,15.0,2022-07-20,9.0,167.0,152.0,Sales,Series B,58.0,2022,43.6534817,-79.3839347
578,Introhive,Ferdericton,other,New Brunswick,Canada,North America,57.0,2022-07-20,16.0,356.0,299.0,Sales,Series C,125.0,2022,45.964993,-66.646332
579,Lyft,San Francisco,San Francisco Bay Area,California,USA,North America,60.0,2022-07-20,2.0,3000.0,2940.0,Transportation,Post-IPO,4900.0,2022,37.7792588,-122.4193286
580,Zencity,Tel Aviv,other,non,Israel,Asia,30.0,2022-07-20,20.0,150.0,120.0,Other,Unknown,51.0,2022,32.0852997,34.7818064
581,Blockchain.com,London,other,England,UK,Europe,150.0,2022-07-21,25.0,600.0,450.0,Crypto,Series D,490.0,2022,51.4893335,-0.144055085
582,Lunchbox,New York City,other,New York,USA,North America,60.0,2022-07-21,33.0,182.0,122.0,Food,Series B,72.0,2022,40.7127281,-74.0060152
583,Rad Power Bikes,Seattle,Cascadia,Washington,USA,North America,63.0,2022-07-21,10.0,630.0,567.0,Transportation,Series D,329.0,2022,47.6038321,-122.330062
584,RealSelf,Seattle,Cascadia,Washington,USA,North America,11.0,2022-07-21,5.0,220.0,209.0,Healthcare,Series B,42.0,2022,47.6038321,-122.330062
585,WHOOP,Boston,other,Massachusetts,USA,North America,95.0,2022-07-21,15.0,633.0,538.0,Fitness,Series F,404.0,2022,42.3554334,-71.060511
586,Clarify Health,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,2022-07-22,5.0,300.0,285.0,Healthcare,Series D,328.0,2022,37.7792588,-122.4193286
587,Eucalyptus,Sydney,other,New South Wales,Australia,Oceana,50.0,2022-07-22,20.0,250.0,200.0,Healthcare,Series C,69.0,2022,-33.8698439,151.2082848
588,Quanto,Sao Paulo,other,State of São Paulo,Brazil,South America,28.0,2022-07-22,22.0,127.0,99.0,Finance,Series A,15.0,2022,-23.5506507,-46.6333824
589,Soluto,Tel Aviv,other,non,Israel,Asia,120.0,2022-07-24,100.0,120.0,0.0,Support,Acquired,18.0,2022,32.0852997,34.7818064
590,Pear Therapeutics,Boston,other,Massachusetts,USA,North America,25.0,2022-07-25,9.0,278.0,253.0,Healthcare,Post-IPO,409.0,2022,42.3554334,-71.060511
591,Dover,San Jose,San Francisco Bay Area,California,USA,North America,23.0,2022-07-26,30.0,77.0,54.0,HR,Series A,22.0,2022,37.3361663,-121.890591
592,Fiverr,Tel Aviv,other,non,Israel,Asia,60.0,2022-07-26,8.0,750.0,690.0,Other,Post-IPO,111.0,2022,32.0852997,34.7818064
593,Immutable,Sydney,other,New South Wales,Australia,Oceana,20.0,2022-07-26,6.0,333.0,313.0,Crypto,Series C,279.0,2022,-33.8698439,151.2082848
594,InDebted,Sydney,other,New South Wales,Australia,Oceana,40.0,2022-07-26,17.0,235.0,195.0,Finance,Series B,41.0,2022,-33.8698439,151.2082848
595,Outbrain,New York City,other,New York,USA,North America,38.0,2022-07-26,3.0,1267.0,1229.0,Marketing,Post-IPO,394.0,2022,40.7127281,-74.0060152
596,Shopify,Ottawa,other,Ontario,Canada,North America,1000.0,2022-07-26,10.0,10000.0,9000.0,Retail,Post-IPO,122.0,2022,45.4208777,-75.6901106
597,Coinsquare,Toronto,other,Ontario,Canada,North America,30.0,2022-07-27,24.0,125.0,95.0,Crypto,Unknown,98.0,2022,43.6534817,-79.3839347
598,Rivian,Detroit,other,Michigan,USA,North America,840.0,2022-07-27,6.0,14000.0,13160.0,Transportation,Post-IPO,10700.0,2022,42.3315509,-83.0466403
599,Skai,Tel Aviv,other,non,Israel,Asia,30.0,2022-07-27,4.0,750.0,720.0,Marketing,Series E,60.0,2022,32.0852997,34.7818064
600,Vox Media,Washington DC,other,District of Columbia,USA,North America,39.0,2022-07-27,2.0,1950.0,1911.0,Media,Series F,307.0,2022,38.8950368,-77.0365427
601,Career Karma,San Francisco,San Francisco Bay Area,California,USA,North America,60.0,2022-07-28,33.0,182.0,122.0,Education,Series B,51.0,2022,37.7792588,-122.4193286
602,Metromile,San Francisco,San Francisco Bay Area,California,USA,North America,60.0,2022-07-28,20.0,300.0,240.0,Finance,Acquired,510.0,2022,37.7792588,-122.4193286
